;DZ¡VOKLIS Tukuma nov., Tukums, Kurzemes iela 2-26;
Datums;11477134;Kopƒ:
01.04.2024;12,889;12,889
02.04.2024;8,987;8,987
03.04.2024;9,818;9,818
04.04.2024;8,039;8,039
05.04.2024;9,072;9,072
06.04.2024;8,027;8,027
07.04.2024;9,617;9,617
08.04.2024;9,156;9,156
09.04.2024;9,303;9,303
10.04.2024;7,402;7,402
11.04.2024;9,1;9,1
12.04.2024;6,955;6,955
13.04.2024;9,924;9,924
14.04.2024;11,906;11,906
15.04.2024;10,051;10,051
16.04.2024;9,087;9,087
17.04.2024;9,244;9,244
18.04.2024;7,073;7,073
19.04.2024;7,415;7,415
20.04.2024;8,556;8,556
21.04.2024;5,835;5,835
22.04.2024;7,289;7,289
23.04.2024;8,579;8,579
24.04.2024;8,949;8,949
25.04.2024;7,97;7,97
26.04.2024;6,883;6,883
27.04.2024;8,391;8,391
28.04.2024;10,324;10,324
29.04.2024;7,071;7,071
30.04.2024;8,018;8,018
Kopƒ:;260,93;260,93
